split,case_id,num_source_docs,ref_long,ref_short,ref_tiny,case_name,case_type,class_action_sought,filing_year,case_ongoing,prevailing_party,source_word_count,ref_long_word_count,ref_short_word_count,ref_tiny_word_count
train,CW-NY-0011,3,"On October 6, 2017, parents with perceived or actual intellectual disabilities who had been investigated for child abuse or neglect by New York City's Administration for Children's Services filed this class action lawsuit against New York City in the U.S. District Court for the Southern District of New York. The plaintiffs sought declaratory and injunctive relief against the defendant for violations of Title II of the Americans with Disabilities Act, 42 U.S.C. § 12131 et seq., and Section 504 of the Rehabilitation Act of 1973, 29 U.S.C. § 794. Specifically, the plaintiffs alleged that the defendants failed to provide services, programs, and training tailored to the plaintiffs' needs and, as a result, they were disadvantaged during each stage of a child welfare case. The plaintiffs were represented by the New York Legal Assistance Group and private counsel. The case was assigned to Judge Alison Nathan. 

The plaintiffs filed a motion for class certification on September 28, 2018. On September 3, 2019, Judge Nathan referred the case to Magistrate Judge Barbara Moses for the purpose of settlement. The next day, Judge Nathan administratively denied the plaintiffs' motion to certify the class. This would allow the plaintiffs refile the motion later if they so chose. The parties have been engaged in settlement discussions and the case is ongoing as of May 2020. 
",Parents with perceived or actual intellectual disabilities who had been investigated for child abuse or neglect by Defendant City's Administration for Child Services brought this class action lawsuit claiming violations of Title II of the Americans with Disability Act and section 504 of the Rehabilitation Act of 1973. The case is ongoing.,,S. v. City of New York,Child Welfare,Yes,2017,Yes,None Yet / None,14455,220,52,0
train,IM-IL-0008,8,"On July 18, 2002, attorneys for the Midwest Immigration and Human Rights Center filed a class action lawsuit in United States District Court for the Northern District of Illinois, seeking habeas corpus relief for aliens who had been detained by the Bureau of Immigration and Customs Enforcement (""ICE"")  in the Chicago District who have been detained for over six months after a final order of deportation had been issued and there was no significant likelihood of their repatriation within the reasonably foreseeable future. Plaintiffs claimed that their indefinite detention violated procedural and substantive due process rights, as well as the parameters for detention set by the Supreme Court in Zadvydas v. Davis, 533 U.S. 678, 121 S.Ct. 2491, 150 L.Ed.2d 653 (2001).

The complaint was amended several times to substitute individuals as the named plaintiffs, representing the proposed class.

The government moved to dismiss the case.

On April 16, 2003, the District Court for (Judge James B. Zagel) dismissed two counts  of plaintiffs' complaint as being moot, declined to issue a writ habeas corpus on three of the counts and denied the request to dismiss the remaining counts.  Hmaidan v. Ashcroft, 258 F. Supp. 2d 832, 840 (N.D. IL 2003).  Plaintiffs amended their complaint for a third time and then moved for class certification.  The government moved to dismiss the amended complaint and opposed class certification.  The Court (Judge Zagel) dismissed two counts of the amended complaint as being moot and granted class certification on the remaining claims. . Kazarov v. Achim, 2003 WL 22956006 (N.D. IL Dec. 12, 2003).

The case proceeded to trial before Judge Zagel on September 12 and 13, 2005.  The parties submitted post trial briefs.  On February 27, 2007, the District Court issued its findings of fact and conclusions of law and determined that neither the plaintiff class nor any of the individual representative plaintiffs were entitled to injunctive relief.  Judgment was entered in favor of defendants.  Kazarov v. Achim, 2007 WL 647453  (N.D. Ill. Feb. 27, 2007).

",,,Kazarov v. Achim,Immigration and/or the Border ,Yes,2002,No,Defendant,114384,333,0,0
train,JC-CA-0105,17,"COVID-19 Summary: This class action about medical care in the Riverside County jails settled in 2015. On April 4, 2020, plaintiffs brought a motion to enforce the consent decree, seeking implementation of expert-endorsed coronavirus-related protocols including social distancing.  On April 16, the Court agreed, requiring planning and potentially prisoner transfers. A formal COVID-19 plan was approved in July 2020 and revised in October 2020. <hr>

On May 8, 2013, three prisoners in Riverside county jails filed this class-action lawsuit in the US District Court for the Central District of California. The plaintiffs sued the County of Riverside (California) under 42 U.S.C. § 1983. The plaintiffs alleged that the access to both physical and mental healthcare was so deficient that it violated the Eighth Amendment proscription of cruel and unusual punishment, violated prisoners' Fourteenth Amendment rights, and constituted deliberate indifference to prisoners' health needs. The class was divided into two subclasses, termed the Medical Subclass and the Mental Health Subclass, though the classes were not mutually exclusive. Represented by the Prison Law Office, the plaintiffs sought attorneys' fees, declaratory relief, and an injunction requiring the county to develop a plan to address the deficiencies of its jails' healthcare system and to provide at least minimally adequate health care.

According to the plaintiffs, some prisoners were told that doctors would only see those with court orders and that Sheriffs' deputies sometimes refused to provide forms. Prisoners had no other way to acquire or file forms. The plaintiffs alleged that in order to get access to healthcare they frequently needed to get court orders, file grievances, and file Health Need Requests (which cost $3), all of which they said were frequently ignored. 

By California state law a grand jury evaluates county jails every year. The June 14, 2012, Riverside County Grand Jury Report stated ""In July, 2011, DMH was advised. . . .that the medical/mental health staffing levels in county jails needed to be restored to 2007 levels, in order to be in compliance with [state law]. As of this writing, the Grand Jury learned through sworn testimony that during the eight months following the 2010-2011 Grand Jury report, DMH staffing levels were allowed to decrease even further."" As of May 31, 2012, only two of the five full-time physician positions in the jails were filled, and the county had multiple vacancies for nurses and nurse supervisors; only 65 of 101 total Detention Health Services positions were filled. Because of these vacancies, the plaintiffs alleged, medication distribution was erratic and doses were often supplied at irregular times or missed entirely. The plaintiffs also alleged that many prisoners received psychotropic drugs when their medical records were illegible or contained no treatment plan, monitoring, or other indications the treatment with the drugs was necessary, and sometimes with no record of informed consent.

On April 30, 2013, the plaintiffs filed an amended complaint adding a fourth named plaintiff. On August 20, 2014 the plaintiffs filed a second amended complaint adding factual allegations and plaintiffs. 2014 WL 5304915 (C.D. Cal. Sept. 2, 2014).

On September 2, 2014, Judge Virginia Phillips granted the plaintiffs' motion for class certification and denied the defendants' motion to dismiss. The defendants wanted to appeal the class certification, but Judge Phillips denied the petition for permission to appeal the order granting class action certification. 

After settlement negotiations, the parties agreed to resolve the litigation without trial.  The parties agreed that certain closely related claims relating to disability
discrimination were also appropriate for resolution in this case and the plaintiffs field an amended complaint on November 24, 2015. 

On December 22, 2015, Judge Phillips granted the parties' motion for preliminary approval of their proposed class action settlement agreement. On April 28, 2016, Judge Phillips granted final approval of the agreement. The Consent Decree included a Remedial Plan designed to meet the minimum level of health care necessary to comply with the Eighth and Fourteenth Amendments, as well as to ensure non-discrimination against inmates with disabilities as required by the ADA and Section 504 of the Rehabilitation Act. For example, the defendants agreed to provide, among other things: (1) confidential screening for health care concerns for all new inmates; (2) readily available health care request forms; (3) daily collection and triage of health care request forms, with urgent concerns seen the same day and routine concerns seen within 72 hours; (4) confidential settings in which medical and mental health care encounters can take place; (5) pill call twice a day at regular times; (6) maintenance of medical and mental health information in a single electronic record; (7) sufficient medical and mental health staff available to ensure compliance with the Remedial Plan; (8) timely and appropriate care for chronic care patients and those in need of specialty services; and (9) a full range of structured mental health treatment options, including thorough assessments, group and individual therapy, psychotropic medications, and designated housing with specialized programming.

The defendants also agreed to submit a status report to plaintiffs' counsel every six months detailing their compliance with the Consent Decree and their implementation of the Remedial Plan. The parties also agreed to have two court-appointed experts complete two comprehensive reviews and reports during the first year of the Consent Decree and subsequent reports as needed or requested. 

The duration of the Consent Decree was set at four years from the date of its entry, with the option to extend any provision with which the defendants are not in substantial compliance. The defendants agreed to pay the plaintiffs $1,250,000 in attorneys' fees and expenses. Additionally, the parties agreed that the plaintiffs would be compensated for their reasonable time and reasonable expenses relating to monitoring and enforcing the Consent Decree (not to exceed $150,000).

The first monitoring/implementation activity in the docket is dated April 6, 2020, after the beginning of the coronavirus pandemic.  In response to the pandemic, plaintiffs sought to enforce the consent decree's mandate to “meet the minimum level of health care necessary to fulfill Defendant’s obligations under the Eighth and Fourteenth Amendments.” Court-appointed experts made recommendations for physical distancing recommendations, but the County was not following them. The plaintiffs suggested that the County could follow the recommendations in several ways, including by transferring prisoners to a new, currently empty, jail, relocating particularly vulnerable prisoners; and even releasing people to allow for physical distancing. 

The Court agreed with the motion, noting: <blockquote>At the hearing, Defendant did not have information regarding conditions in the existing county jail facilities, insisted that moving prisoners to a newly completed, empty jail in Indio was not feasible, and admitted that it had not researched alternative housing options such as recreation centers, halfway houses, and hotels. Rather than having created a plan to safeguard those most vulnerable to the COVID-19 virus, Defendant conceded that it has not conducted an analysis of its own records to identify particularly vulnerable prisoners. It also has not conducted an analysis of its jail population to determine whether there are any low-level offenders who might be eligible for early release. </blockquote> The Court found, ""Should the County be unable to implement adequate social distancing within its existing jail facilities and take other necessary steps to decrease risk of infection, this Court has the authority to order the transfer of prisoners to different facilities.""  It therefore granted plaintiffs' request that the County be required “to submit a plan to the Court to implement the Governor’s order for physical distancing for all Californians housed in the jails."" 

Specific requirements were outlined in the written order dated April 16, 2020: 
1. An evaluation of current jail capacity to house people safely consistent with physical distancing to reduce transmission of COVID-19
2. A plan to safely house and care for people incarcerated in the jails who are at high risk for severe complications from COVID-19 based on guidance from the CDC and the Court experts.
3. Adequate hygiene and cleaning measures, including education of the people incarcerated in the jails, consistent with the CDC’s guidelines. 
4. Measures to address the mental health needs of people held in quarantine or isolation

The court also ordered mediation to resolve any disputes over the adequacy of the plan and the production of underlying data. A status report was provided on April 24, detailing that during the mediation the Defendants provided information that satisfied a significant number of the issues posed by Plaintiffs, and that the Defendant was in process of preparing a written plan to provide to Plaintiffs pursuant to the court’s order on April 14. Furthermore, the Defendant agreed to provide the Plaintiffs’ counsel relevant COVID-19 statistics every Monday, Wednesday, and Friday for the duration of the State of Emergency. The Court approved the proposed COVID-19 plan on July 22, 2020.

On October 15, 2020, the court approved a stipulated agreement between the parties to revise the COVID-19 plan. The defendants agreed to allow ten people out of their cells in the dayroom at a time to provide the inmates with more time out of their cells. The defendants also agreed to allow individuals in dorm housing to move around when other inmates had dayroom time without limitations. The Defendants also agreed to provide Plaintiffs' counsel with weekly data reports of out-of-cell time for each cohort in celled housing for each day and test results including the purpose of testing and the housing location at the time of testing.

The case is ongoing.","In 2013, three prisoners in Riverside county jails filed this class-action lawsuit in the US District Court for the Central District of California. The plaintiffs sued the County of Riverside (California) alleging that the access to both physical and mental healthcare was so deficient that it violated the Eighth Amendment and the Fourteenth Amendment. On April 28, 2016, the Court approved the parties' Consent Decree and Remedial Plan, which called for enhanced provision of medical and mental health services to inmates and awarded the plaintiffs $1,250,000 in attorneys' fees and expenses. The Consent Decree was set to last four years and its enforcement is still ongoing as of January 3, 2019. 

On April 4, 2020, plaintiffs brought a motion to enforce the consent decree, seeking implementation of expert-endorsed coronavirus-related protocols including social distancing.  On April 16, the Court agreed, requiring planning and potentially prisoner transfers. A mediation was held on April 17, during which the Defendant satisfied many of the issues posed by the Plaintiffs. On October 15, the court approved a stipulated agreement between the parties to revise the COVID-19 plan.","Prisoners seek to enforce consent decree requiring health care services, with additional COVID-19 protocols.",Gray v. County of Riverside,Jail Conditions,Yes,2013,Yes,Plaintiff,329461,1566,182,14
train,FH-NY-0017,4,"On March 30, 2000,  the United States Department of Justice filed a lawsuit in the U.S. District Court for the Eastern District of New York against a bank, in coordination with the United States Department of Housing and Urban Development and the Federal Trade Commission, alleging that it engaged in discriminatory lending practices. 

The plaintiffs alleged that as a result of the defendant's discriminatory policies and practices, African-American female borrowers were charged higher mortgage broker fees than similarly situated white male borrowers.  The plaintiffs also alleged that the defendant provided financial incentives to mortgage brokers to steer loan applicants to Delta and that the defendant approved loans without regard to the borrower's ability to repay.

The plaintiff filed a proposed consent order on April 10, 2000 that was signed by the court (Judge Sifton). Under the settlement agreement, the Defendant-bank is prohibited from lending engaging in any lending practices based on sex, race, or color.  In addition, Delta has agreed to create a $7,250,000 remediation fund as well as an amelioration fund consisting of 525,000 unregistered shares of common stock to compensate borrowers impacted by the Defendant-bank's previous discriminatory measures.  
  
This case was the first case for DOJ to litigate with combined allegations of fair lending and consumer protection.","On March 30, 2000,  the United States Department of Justice filed a lawsuit in the U.S. District Court for the Eastern District of New York against a bank, in coordination with the United States Department of Housing and Urban Development and the Federal Trade Commission, alleging that it engaged in discriminatory lending practices. The parties agreed to a consent decree, under which the bank is prohibited from lending engaging in any lending practices based on sex, race, or color.   In addition, Delta has agreed to create a $7,250,000 remediation fund as well as an amelioration fund consisting of 525,000 unregistered shares of common stock.",,United States v. Delta Funding Corp.,Fair Housing/Lending/Insurance,No,2000,No,Plaintiff,9538,209,104,0
train,FA-MI-0005,23,"On October 8, 2012, two affiliated companies, Autocam Corporation and Autocam Medical, LLC, along with their owners, filed this lawsuit in the U.S. District Court for the Western District of Michigan against the federal government under the Religious Freedom Restoration Act (42 U.S.C. § 2000bb), the Administrative Procedure Act (5 U.S.C. § 706(2)), and the First Amendment.  The plaintiffs, represented by attorneys from CatholicVote Legal Defense Fund, the Thomas More Society, and private counsel, sought to enjoin enforcement of provisions of the Affordable Care Act (ACA) extending mandatory contraception coverage in employer-sponsored private health insurance coverage.  The plaintiffs contended that this mandatory contraception coverage violates their sincerely held religious beliefs. 

The state of Michigan, the Life Legal Defense Fund, and the Bioethics Defense Fund appeared as amici curiae in support of plaintiffs; the ACLU and the ACLU Fund of Michigan submitted an amicus curiae brief in support of the defendants.

On October 12, 2012, District Judge Robert Jonker denied the plaintiffs' motion for an injunction; the plaintiffs appealed to the Sixth Circuit.  The Sixth Circuit denied a temporary injunction pending appeal.  On September 17, 2013, the Sixth Circuit affirmed the district court's decision to deny a preliminary injunction and remanded the case to the district court to dismiss the plaintiff's RFRA claims for lack of jurisdiction.  On September 30, 2013, the district court dismissed the plaintiff's RFRA claims without prejudice.  

On October 22, 2013, the plaintiff filed a petition for writ of certiorari to the Supreme Court. That petition was held at the Supreme Court while the Court decided <a href=""http://www.clearinghouse.net/detail.php?id=12661"">Burwell v. Hobby Lobby</a> (also known as Hobby Lobby v. Sebelius).  The Hobby Lobby <a href=""http://www.clearinghouse.net/chDocs/public/FA-OK-0001-0015.pdf"">decision</a> issued on June 30, 2014:   In 5-4 opinion by Justice Alito, the Court held that the HHS regulations imposing the contraceptive mandate violate RFRA, when applied to closely-held for-profit corporations.  The Court emphasized, however, that alternative methods for meeting the government's asserted interest were available.  In light of the Hobby Lobby opinion, on July 1, 2014, the Supreme Court vacated the judgment in this (Autocam) case, and remanded it to the United States Court of Appeals for the Sixth Circuit for further consideration. On December 11, 2014, the Sixth Circuit granted the plaintiffs' motion to remand to the District Court for entry of a permanent injunction. On January 5, 2015, the District Court entered a permanent injunction preventing the federal government from enforcing the version of the contraceptive mandate that applied in Hobby Lobby against the plaintiffs. The injunction only applied to that version of the mandate, and did not enjoin the government from enforcing a revised version of the mandate that complied with the decision. 

On February 25, 2015, the parties notified the District Court that they had reached an agreement on attorney's fees and costs and no further proceedings were necessary. ","In 2012, two affiliated companies, Autocam Corporation and Autocam Medical, LLC, along with their owners filed this lawsuit in the U.S. District Court for the Western District of Michigan against the federal government, under the Religious Freedom Restoration Act (42 U.S.C. § 2000bb), the Administrative Procedure Act (5 U.S.C. § 706(2)), and the First Amendment.  Plaintiffs, represented by attorneys from CatholicVote Legal Defense Fund, the Thomas More Society, and private counsel, sought to enjoin enforcement of provisions of the Affordable Care Act (ACA), contending that this mandatory contraception coverage violates their sincerely held religious beliefs.  On October 12, 2012, District Judge Robert Jonker denied plaintiffs' motion for an injunction in an unpublished opinion, which plaintiffs appealed to the 6th Circuit.  The 6th Circuit affirmed the district court's opinion and remanded the case for dismissal.  Autocam sought Supreme Court review, and on July 1, 2014, the Supreme Court vacated the 6th Circuit judgment , and remanded for further consideration in light of its Hobby Lobby decision issued the day before. Following Hobby Lobby, the District Court granted the plaintiffs a permanent injunction  against enforcement of the contraceptive services mandate on January 5, 2015. ",Michigan companies granted exemption from providing #birthcontrol coverage to their employees (W.D. Mich.) ,Autocam Corp. v. Sebelius,Speech and Religious Freedom,No,2012,No,Plaintiff,93436,469,192,13
train,IM-DC-0025,7,"This action, filed February 3, 2017, challenged President Trump’s Jan. 27, 2017 Executive Order ban on admission to the U.S. of nationals of Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen. Represented by private counsel and several advocacy organizations--the University of Minnesota Center for New Americans and the Immigrant Law Center of Minnesota -- plaintiffs argued that in preventing valid US visa holders from entering the US, the EO violated the First Amendment Establishment Clause, Fifth Amendment equal protection and due process rights, and the Administrative Procedure Act. The complaint sought emergency declaratory and injunctive relief. The case was filed in the U.S. District Court for the District of Columbia. 

The plaintiffs were two married couples. In each couple, one individual was a citizen or lawful permanent resident of the US petitioning for visas for his/her respective spouses. The visas were granted, and the spouses, who were nationals of one of the seven nations subject to the Executive Order, were prevented from entering the U.S. In both cases, the couples were separated as a result of the Executive Order. 

With their complaint, the plaintiffs filed an emergency motion for a temporary restraining order seeking to enjoin the defendants from both revoking the issued visas and prohibiting the visa holders from entering the US.

The case was assigned to District Judge Tanya Chutkan. On February 5, 2017, plaintiffs' counsel wrote to Judge Chutkan that one of the plaintiffs was allowed to enter the US and had become a Lawful Permanent Resident. A second plaintiff was allowed to board a plane to the US on February 6, 2017. On February 7, 2017, the plaintiffs submitted a notice that they were withdrawing the emergency motion for a temporary restraining order.  

On Mar. 6, prompted by adverse developments in another lawsuit challenging the Executive Order, in <a href=""https://www.clearinghouse.net/detail.php?id=15606"">Washington v. Trump</a>, the President rescinded the Jan. 27 Executive Order and replaced it with a narrower one, <a href=""https://www.federalregister.gov/documents/2017/03/09/2017-04837/protecting-the-nation-from-foreign-terrorist-entry-into-the-united-states"">Executive Order 13780 (EO-2)</a>. 

On March 8, the parties reached an agreement in this case and stipulated to a dismissal, with each party to bear its own costs and fees. The court granted the dismissal on the same day. 

The case is now closed. ","This action, filed February 3, 2017, in the U.S. District Court for the District of Columbia, challenged President Trump’s January 27, 2017, Executive Order also known as the travel ban. The plaintiffs were two married couples. In each couple, one individual is a citizen or lawful permanent resident of the US petitioning for visas for their respective spouses. The visas were granted, and the spouses, who are nationals of one of the seven nations subject to the EO, were prevented from entering the US. In both cases, the couples were separated as a result of the EO. On February 5, 2017, plaintiffs' counsel wrote to the district court judge that one of the plaintiffs was allowed to enter the US and had become a Lawful Permanent Resident. A second plaintiff was allowed to board a plane to the US on February 6, 2017. On February 7, 2017, the plaintiffs submitted a notice that they were withdrawing the emergency motion for a temporary restraining order. On March 8, the parties reached an agreement in this case and stipulated to a dismissal, with each party to bear its own costs and fees. The court granted the dismissal on the same day. 

This case is now closed. 

",,Zadeh v. Trump,Immigration and/or the Border ,No,2017,No,Mixed,21242,366,204,0
train,FH-GA-0008,3,"On September 07, 2010, the United States filed a lawsuit under the Fair Housing Act, 42 U.S.C. §3601, against the Eastman Housing Authority (""EHA"") in the United States District Court for the Southern District of Georgia. (Judge Dudley H. Bowen, Dublin Division). The Defendant maintains and owns nine public housing developments in the City of Eastman and surrounding areas. The Plaintiff claimed that the Defendant engaged in a pattern or practice of discrimination based on race or color in connection with the rental of dwellings in EHA housing developments. Specifically, the Plaintiff alleges the Defendants steered applicants and residents to housing complexes on the basis of race and color; 2) selected white applicants over eligible black applicants who had higher positions on the EHA waiting list so that white applicants could be placed in vacant housing units ; 3) selected black applicants over white applicants on the EHA waiting list so that white applicants would not be housed in vacant units in majority black complexes; and 4) provided inferior treatment to black tenants in the terms, conditions and/or privileges of rental of EHA properties. The Plaintiff sought declaratory, injunctive, and monetary relief.

The parties announced a settlement the same day the Complaint was filed, and on October 18, 2010, the Court (Judge Bowen) approved a five year consent decree. In addition to general prohibitions against discrimination on the basis of race or color, and the use of HUD-approved policies with respect to applications and admissions, record-keeping and permission to inspect, the decree required the Defendant to pay $320,000 into an escrow to compensate persons harmed the EHA's discriminatory rental practices.

The settlement ended in 2015 without any further litigation. The case is now closed.

","On September 07, 2010, the United States sued the Eastman Housing Authority (""EHA"") in the United States District Court for the Southern District of Georgia for violations of the Fair Housing Act. Allegedly the defendant engaged in a pattern or practice of discrimination based on race or color by steerig African American families away, falsley denying the availability of units, and other practices designed to avoid renting to people of color. The parties announced a settlement the same day the Complaint was filed and the District Court (Judge Bowen) approved a five-year Consent Decree that set out specific HUD-approved policies and practices for Defendant to follow in the application and admission processes, along with record keeping, reporting, and openness to inspection.",,"United States v. Housing Authority of the City of Eastman, Georgia",Fair Housing/Lending/Insurance,No,2010,No,Plaintiff,8076,284,121,0
train,FH-AL-0001,8,"On September 17, 2002, plaintiff, a 66-year-old African-American, filed suit in the U.S. District Court for the Middle District of Alabama, alleging violations of 42 U.S.C. § 1981; the Equal Credit Opportunity Act (ECOA), 15 U.S.C. § 1691; and the Fair Housing Act (FHA), 42 U.S.C. § 3601 et seq. Plaintiff, a residential real estate landlord, alleged that the defendant-bank wrongfully denied him an unsecured line of credit on the basis of plaintiff's race. Plaintiff sought money damages and was represented by private counsel.

Plaintiff originally included the Federal Deposit Insurance Corporation (FDIC) as a defendant in the case, but after the FDIC filed a Motion to Dismiss on March 10, 2003, plaintiff filed a Second Amended Complaint excluding the FDIC as a defendant.

U.S. District Court Judge W. Harold Albritton III granted the defendant-bank's Motion for Summary Judgment on September 4, 2003. Cooley v. Sterling Bank, 280 F. Supp. 2d 1331 (M.D. Ala. 2003). Judge Albritton found that ""the Plaintiff has not proven a prima facie case of credit discrimination due to the absence of sufficient evidence to establish that Sterling approved loans for applicants outside of the plaintiff's protected class with similar loan qualifications."" Cooley, 280 F. Supp. 2d at 1344. The Eleventh Circuit affirmed without opinion on July 16, 2004. Cooley v. Sterling Bank, 116 Fed. Appx. 242 (11th Cir. 2004).

",,,Cooley v. Sterling Bank,Fair Housing/Lending/Insurance,No,2002,No,Defendant,16141,224,0,0
train,CJ-TX-0011,6,"This case was originally named West v. City of Santa Fe. It was recaptioned when one of the court severed one of the plaintiffs from the original case to pursue claims against the City of Santa Fe alone; the original case pursued claims against the city of Hitchcock, Texas. The new case was titled <a href=""https://www.clearinghouse.net/detail.php?id=17603"">Fuller v. Santa Fe</a>, 3:18-cv-00283 (S.D. Tex.).

On November 3, 2016, three individuals under threat of being jailed for failure to pay fines to the City of Santa Fe filed this lawsuit in the U.S. District Court for the Southern District of Texas. The plaintiffs sued the City of Santa Fe, the Municipal Judge, and the Chief of Police under 42 U.S.C. § 1983, alleging that the defendants run a modern-day debtors' prison to raise revenue for the City. They claimed that city officials have colluded on an unconstitutional two-tiered system of justice by which the City and Municipal Judge agreed to raise the costs of the traffic and other misdemeanor fines to boost revenue and the City extracts payments from local residents. Police officers regularly jail people who fail to pay their fines without giving them access to a lawyer or the chance to mount a legal defense, nor are they given the opportunity to see a judge for the constitutionally mandated hearing on their ability to pay. Moreover, the police chief makes jail intolerable, giving detainees too little food to eat and depriving them of medical care. Represented by the American Civil Liberties Union of Texas, the plaintiffs asked the court for injunctive and declaratory relief, damages, and attorneys fees. They also sought class certification.

The plaintiffs alleged that the revenue-generating scheme begins with Municipal Court proceedings, which its jurisdiction is limited to tickets for class C misdemeanors. These offenses are defined by Texas law as ""nonjailable,"" ""fine only"" offenses, punishable by a fine up to $500. For an individual unable to make timely payments in full, the Municipal Court issues a ""capias pro fine"" warrant for failure to pay a fine. Individuals who have a capias pro fine have two options: pay in full or turn themselves in to the police. Police also search for people subject to capias pro fine warrants, sometimes arresting people at their homes in front of family, friends, and neighbors. Though police have the option of taking such individuals before a court, they do not. Instead, they transfer them to the police chief and book them into jail where they will be held until they pay their debt in full or satisfy the fines with ""jail credit.""

The allegations continued, claiming that once in jail, individuals are subjected to unsafe conditions without proper food. The complaint terms this the ""Hungry Man policy,"" and alleges that jailed individuals are fed one Pop Tart for breakfast, one Pop Tart for lunch, and a frozen meal, such as a Hungry Man meal, for dinner. This amounts to only about 750 calories a day, which is less than half of the calories the average sedentary adult requires, and less than a third of the calories sedentary young men require.  

Judge George C Hanks, Jr. denied class certification without prejudice on September 18, 2017, without providing a detailed reason in the order. On October 11, 2017, one of the named plaintiffs voluntarily dismissed his claims; the other two plaintiffs proceeded on this single case without him.

The plaintiffs filed an amended complaint on October 23, 2017, adding a magistrate judge, in his individual capacity, and the Chief of Police, in his official capacity, as defendants. 

The case was temporarily assigned to Magistrate Judge Andrew Edison on June 1, 2018. 

On June 4, 2019, the defendants filed a sealed motion calling the plaintiff's capacity to prosecute the lawsuit into question. This appeared to be due to some health issue, since the District Court granted a 60-day stay of the case on June 18, 2019 to allow the plaintiff to access medical care in hopes of continuing the suit after. 

Magistrate Judge Edison provided a recommendation against granting the defendant's various motions to dismiss on August 16, 2018, saying that all plaintiffs in the case had standing and that the injuries alleged in the case amounted to civil rights violations. 2018 WL 4047115. Though he did not explicitly recommend severing the claims against Hitchcock and Santa Fe at this point, the Magistrate Judge discussed each plaintiff's claims against their respective cities separately. This likely influenced Judge Hanks's decision to sever the two cases when he adopted the Magistrate Judge's recommendation on September 19. 2018 WL 5276264.

The case was reassigned to Judge Jeffrey V. Brown. Judge Brown conditionally dismissed the case on October 23, 2019 because the parties had come to a settlement agreement in Fuller v. City of Santa Fe that covered the class of plaintiffs named here. The Clearinghouse has been unable to find text of a settlement agreement. The case was officially dismissed on December 6, 2019 because neither party filed a motion to dispose of the case on a final judgment by that deadline set in in the October 23 order. ","On November 3, 2016, three individuals who have been, or fear they will be, jailed for failure to pay their outstanding fines to the City of Santa Fe, filed this lawsuit under 42 U.S.C. § 1983 in the District Court for the Southern District of Texas. Eventually, this case was severed into two separate ones: this one, against the city of Hitchcock, and <i>Fuller v. City of Santa Fe</i>, against the city of Santa Fe. <i>Fuller v. City of Santa Fe</i> settled for an undisclosed amount, and the plaintiffs in this case were covered by that settlement. The case is closed.",Now posting: Documents from @ACLUTx 2016 case against a city south Texas for excessive fines and harsh prison stays for nonpayment of those fines. A non-public settlement agreement from a severed case covered this one.,West v. City of Hitchcock,Criminal Justice (Other),Yes,2016,No,None Yet / None,50375,851,101,35
train,EE-PA-0030,3,"In September 2006, the Philadelphia District Office of the EEOC filed this suit against BVI Precision Materials Company in the U.S. District Court for the Eastern District of Pennsylvania alleging discrimination on the basis of sex in violation of Title VII of the Civil Rights Act of 1964.  Specifically, the complaint alleged that the defendant subjected the charging party, a female employee, to sexual harassment consisting of sexually offensive remarks and unwelcome sexual advances.  In addition, the defendant retaliated against the charging party by terminating her in response to her complaints of the sexual harassment.  The charging party intervened in the suit in December 2006, and the parties settled through a consent decree about two months later in February 2007.  

The three-year decree, containing non-discrimination and non-retaliation clauses, required the defendant to: give the charging party a neutral reference, post a notice of this decree, develop an anti-discrimination policy and complaint procedure, distribute the policy to all its employees, provide annual Title VII training for its supervisors and mangers, report to the EEOC at specified intervals, and pay the charging party $80,000. The docket sheet does not show any further enforcement; the case was presumably closed in 2010.",,,EEOC v. BVI PRECISION MATERIALS COMPANY,Equal Employment,No,2006,No,Plaintiff,5159,198,0,0
